Elapsedmins, Nodes
2,4
2,4
2,4
1,4
2,4
1,4
2,4
2,8
2,8
2,8
2,8
1,8
2,8
2,8
2,8
2,8
2,8
1,8
2,16
2,16
2,16
2,16
1,16
1,16
1,16
3,1
4,16
5,2K
4,1176
2,128
2,256
2,64
2,32
2,32
2,32
2,32
2,32
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
2,1
2,1
1,1
2,1
2,1
1,1
2,1
2,1
2,1
2,1
1,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
2,1
2,1
1,1
2,1
1,1
2,1
2,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
2,1
2,1
2,1
1,1
1,1
2,1
2,1
2,1
2,1
2,1
2,1
1,1
2,1
2,1
2,1
2,1
2,1
1,1
2,1
2,1
1,1
2,1
2,1
2,1
2,1
1,1
2,1
2,1
2,1
2,1
1,1
2,1
2,1
2,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
2,1
1,1
2,1
1,1
2,1
2,1
1,1
1,1
1,1
1,1
1,1
2,1
2,1
2,1
1,1
1,1
1,1
2,1
2,1
2,1
2,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
42,3K
1,512
1,256
18,1
1,1
6,16
4,1
5,4
4,1
5,4
6,16
3,1
3,1
2,1
4,1
3,1
4,1
5,1
1,2
1,16
2,2
3,16
3,16
3,16
20,1
41,3K
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
2,1
2,1
2,2
2,2
2,2
2,4
2,4
2,4
2,8
2,8
2,8
3,16
3,16
3,16
3,32
3,32
3,32
3,64
4,64
4,64
4,128
4,128
4,128
5,256
5,256
63,1K
1,1
1,2
1,4
1,8
1,16
2,32
42,3K
2,64
2,128
20,1
3,1
3,1
1,4
1,4
20,4
27,4
1,4
46,4
1,4
1,4
